Loan ID,BorrCity,BorrState,BorrZip,CDC_City,CDC_State,CDC_Zip,ThirdPartyLender_City,ThirdPartyLender_State,ThirdPartyDollars,GrossApproval,ApprovalDate,ApprovalFiscalYear,DeliveryMethod,InitialInterestRate,Missing Rate?,TermInMonths,NaicsCode,ProjectCounty,ProjectState,BusinessType,LoanStatus,ChargeOffDate,GrossChargeOffAmount,BorrRegion,NaicsTrimmed,Cont_ApprovalDate,TotalLoanAmount,LossRatio,LoanAge,BorrSameCDC,ProjectSameBorr
37240,CHESAPEAKE,VA,23321,Norfolk,VA,23510,WINSTON SALEM,NC,1809500,301000,10/3/2002,2003,504,3.25,1,240,722110,CHESAPEAKE CITY,VA,CORPORATION,0,NA,0,South,72,4658,2110500,NA,240,YES,YES
37245,BURIEN,WA,98166,Seattle,WA,98168,SEATTLE,WA,250000,209000,10/3/2002,2003,ALP,3.25,1,240,484110,KING,WA,CORPORATION,0,NA,0,West,48,4658,459000,NA,240,YES,YES
37247,BAYTOWN,TX,77521,Austin,TX,78746,BEAUMONT,TX,140000,119000,10/4/2002,2003,504,3.25,1,240,443130,HARRIS,TX,CORPORATION,0,NA,0,South,44,4659,259000,NA,240,YES,YES
37266,HASTINGS,MN,55033,Vadnais Heights,MN,55110,SAINT PAUL,MN,850000,700000,10/8/2002,2003,PCLP,3.25,1,240,441222,WASHINGTON,MN,CORPORATION,1,6/22/2005,208837,Midwest,44,4663,1550000,0.134733548,32,YES,YES
37283,OREM,UT,84057,Salt Lake City,UT,84109,Cincinnati,OH,3691500,776000,10/11/2002,2003,504,3.25,1,240,622210,UTAH,UT,CORPORATION,0,NA,0,West,62,4666,4467500,NA,240,YES,YES
37285,FREMONT,CA,94539,San Francisco,CA,94111,FREMONT,CA,212500,177000,10/11/2002,2003,504,3.25,1,240,332710,ALAMEDA,CA,CORPORATION,0,NA,0,West,33,4666,389500,NA,240,YES,YES
37290,BAXTER,MN,56401,St. Cloud,MN,56301,Baxter,MN,206333,176000,10/15/2002,2003,504,3.25,1,240,445310,CROW WING,MN,CORPORATION,0,NA,0,Midwest,44,4670,382333,NA,240,YES,YES
37295,SOUTH JORDAN,UT,84095,Salt Lake City,UT,84109,CLEVELAND,OH,466000,387000,10/15/2002,2003,PCLP,3.25,1,240,541110,SALT LAKE,UT,CORPORATION,0,NA,0,West,54,4670,853000,NA,240,YES,YES
37296,SPICER,MN,56288,St. Cloud,MN,56301,MOUNTAIN LAKE,MN,162500,137000,10/16/2002,2003,504,3.25,1,240,422480,KANDIYOHI,MN,CORPORATION,0,NA,0,Midwest,42,4671,299500,NA,240,YES,YES
37297,GRAND JUNCTION,CO,81505,Denver,CO,80204,SAN FRANCISCO,CA,284000,236000,10/16/2002,2003,ALP,3.25,1,240,621399,MESA,CO,CORPORATION,0,NA,0,West,62,4671,520000,NA,240,YES,YES
