Loan ID,BorrCity,BorrState,BorrZip,CDC_City,CDC_State,CDC_Zip,ThirdPartyLender_City,ThirdPartyLender_State,ThirdPartyDollars,GrossApproval,ApprovalDate,ApprovalFiscalYear,DeliveryMethod,InitialInterestRate,Missing Rate?,TermInMonths,NaicsCode,ProjectCounty,ProjectState,BusinessType,LoanStatus,ChargeOffDate,GrossChargeOffAmount,BorrRegion,NaicsTrimmed,Cont_ApprovalDate,TotalLoanAmount,LossRatio,LoanAge,BorrSameCDC,ProjectSameBorr
29083,WARNER ROBINS,GA,31093,Macon,GA,31201,NA,NA,NA,139000,1/7/2000,2000,504,3.25,1,240,811121,HOUSTON,GA,CORPORATION,1,5/26/2010,127555,South,81,3658,139000,0.917661871,126,YES,YES
29152,DUNDAS,MN,55019,Rochester,MN,55904,NA,NA,NA,181000,1/18/2000,2000,504,3.25,1,240,NA,RICE,MN,CORPORATION,0,NA,0,Midwest,NA,3669,181000,NA,240,YES,YES
29160,LINCOLNWOOD,IL,60646,Chicago,IL,60605,NA,NA,NA,294000,1/18/2000,2000,504,3.25,1,240,NA,COOK,IL,CORPORATION,0,NA,0,Midwest,NA,3669,294000,NA,240,YES,YES
29171,SACRAMENTO,CA,95814,Denver,CO,80202,NA,NA,NA,162000,1/20/2000,2000,PCLP,3.25,1,240,541110,SACRAMENTO,CA,INDIVIDUAL,0,NA,0,West,54,3671,162000,NA,240,NO,YES
29212,PRIOR LAKE,MN,55372,Vadnais Heights,MN,55110,NA,NA,NA,340000,1/26/2000,2000,PCLP,3.25,1,240,421310,SCOTT,MN,CORPORATION,0,NA,0,Midwest,42,3677,340000,NA,240,YES,YES
29214,DERRY,NH,3038,Portsmouth,NH,3801,NA,NA,NA,62000,1/27/2000,2000,ALP,3.25,1,240,NA,ROCKINGHAM,NH,CORPORATION,0,NA,0,Northeast,NA,3678,62000,NA,240,YES,YES
29227,BOYNTON BEACH,FL,33435,Lake Worth,FL,33467,NA,NA,NA,211000,1/28/2000,2000,ALP,3.25,1,240,721110,PALM BEACH,FL,CORPORATION,0,NA,0,South,72,3679,211000,NA,240,YES,YES
29252,SAN MATEO,CA,94608,San Francisco,CA,94133,NA,NA,NA,993000,1/31/2000,2000,504,3.25,1,240,NA,SAN MATEO,CA,CORPORATION,0,NA,0,West,NA,3682,993000,NA,240,YES,YES
29361,INDIANAPOLIS,IN,46239,Indianapolis,IN,46204,NA,NA,NA,268000,2/15/2000,2000,ALP,3.25,1,240,541330,MARION,IN,CORPORATION,0,NA,0,Midwest,54,3697,268000,NA,240,YES,YES
29379,ALEXANDRIA,VA,22304,Fairfax,VA,22030,NA,NA,NA,125000,2/16/2000,2000,ALP,3.25,1,240,453220,ALEXANDRIA CITY,VA,CORPORATION,0,NA,0,South,45,3698,125000,NA,240,YES,YES
29419,CEDAR CITY,UT,84720,Salt Lake City,UT,84109,NA,NA,NA,154000,2/24/2000,2000,504,3.25,1,240,621210,IRON,UT,CORPORATION,0,NA,0,West,62,3706,154000,NA,240,YES,YES
29455,WAPPINGERS FALLS,NY,12590,Albany,NY,12207,NA,NA,NA,171000,2/29/2000,2000,ALP,3.25,1,240,541330,DUTCHESS,NY,CORPORATION,0,NA,0,Northeast,54,3711,171000,NA,240,YES,YES
29466,HUMBLE,TX,77338,Houston,TX,77027,NA,NA,NA,151000,2/29/2000,2000,504,3.25,1,240,621310,HARRIS,TX,INDIVIDUAL,0,NA,0,South,62,3711,151000,NA,240,YES,YES
